D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1.10371550320276e-06,7.31620244583698e-07,0,0,0,10,10,1,1,370
1.10371550320276e-06,7.68624610039775e-07,0,0,0,10,10,1,1,371
1.10371550320276e-06,8.07500606404022e-07,0,0,0,10,10,1,1,372
1.10371550320276e-06,8.48342898244073e-07,0,0,0,10,10,1,1,373
1.10371550320276e-06,8.91250938133746e-07,0,0,0,10,10,1,1,374
1.10371550320276e-06,9.36329208823942e-07,0,0,0,10,10,1,1,375
1.10371550320276e-06,9.83687477662216e-07,0,0,0,10,10,1,1,376
1.10371550320276e-06,1.03344106388056e-06,0,0,0,10,10,1,1,377
1.10371550320276e-06,1.0857111194022e-06,0,0,0,10,10,1,1,378
1.10371550320276e-06,1.14062492385132e-06,0,0,0,10,10,1,1,379
1.10371550320276e-06,1.19831619448383e-06,0,0,0,10,10,1,1,380
1.10371550320276e-06,1.25892541179417e-06,0,0,0,10,10,1,1,381
1.10371550320276e-06,1.32260016159074e-06,0,0,0,10,10,1,1,382
1.10371550320276e-06,1.38949549437314e-06,0,0,0,10,10,1,1,383
